Slang;Formal
hrsnya;harus
mlu;selalu
see;lihat
liat;lihat
pertma;pertama
tdr;tidur
anjm;anjing
repeat;ulang
pgn;ingin
gtloh;gitu
ktmu;temu
bodo;bodoh
sik;masih
smlm;malam
looooove;cinta
in;di
sembuhhhhh;sembuh
mcm;macam
dgr;dengar
tgk;lihat
dst;dsb
cepetaaan;cepat
university;universitas
coronces;corona
apsen;absen
apalgi;apa
ade;adik
adenya;adik
buanyak;banyak
baique;baik
as;sebagai
contact;kontak
jur;jurusan
mnyimak;simak
fifty;limapuluh
dedel;susah
sby;surabaya
mna;mana
pagii;pagi
sbg;sebagai
beginiiiiii;begini
sekaliiii;sekali
kawan;teman
listen;dengar
up;atas
pede;percaya diri
pd;percaya diri
maleeees;malas
like;suka
duit;uang
duid;uang
money;uang
triak;teriak
noooo;tidak
ajj;anjing
sister;kakak
brother;kakak
nite;malam
esok;besok
equals;sama
lamaaaaa;lama
lamaaaa;lama
lamaaa;lama
lamaa;lama
yailaaah;allah
maksain;paksa
manaa;mana
full;penuh
award;penghargaan
kene;sini
mention;sebut
degdegan;deg
gituu;gitu
gituuu;gitu
yainti;inti
yaintinya;inti
gatau;tidak tahu
hype;terkenal
burem;buram
smpe;sampai
muluu;selalu
alhasil;hasil
cont;lanjut
makasii;terimakasih
makasi;terimakasih
touch;sentuh
ileran;liur
thinking;pikir
maksd;maksud
maksdny;maksud
maksdnya;maksud
mkst;maksud
mkstnya;maksud
ngewe;mesum
pr;tugas
justice;adil
manjun;manjur
stadd;ustaz
stay;tinggal
healthy;sehat
brrti;arti
ka;kakak
kreta;kereta
berbeza;beda
mantep;mantap
friver;kemudi
bgsd;bangsat
ngapa;apa
ngapain;apa
stres;stress
back;kembali
start;mulai
batre;baterai
batrenya;baterai
pengen;ingin
tuker;tukar
tukeran;tukar
time;waktu
oncam;kamera
msuk;masuk
socialize;sosialisasi
need;butuh
don;tidak
lngsung;langsung
bngun;bangun
shopping;belanja
postpone;tunda
comment;komentar
sorry;maaf
not;tidak
for;untuk
kuh;aku
akuu;aku
bcs;karena
yukkk;ayo
sendiriiii;sendiri
nderrr;teman
sirkel;lingkaran
boro;jangan
tkt;takut
graduate;lulus
hactic;sibuk
hectic;sibuk
malem;malam
fikiran;pikir
fikir;pikir
begokk;bodoh
btw;omong
berasaaa;rasa
guee;aku
gasi;tidak
allahuu;allah
bisnes;bisnis
sebenarnyaaa;benar
allahu;allah
service;layan
spot;titik
anjr;anjing
dont;jangan
things;hal
getting;jadi
worse;buruk
dunt;tidak
hv;punya
friends;teman
diff;beda
bawel;cerewet
mkin;semakin
jek;ojek
giveaway;hadiah
baij;baik
sgt;sekali
nga;tidak
gada;tidak ada
ocehan;omong
oceh;omong
lbh;lebih
pass;pas
gk;tidak
terbaikkkkk;baik
very;sangat
nice;baik
idea;ide
pandemik;pandemi
rapih;rapi
manage;atur
mgga;tidak
pastu;pasti
signal;jaringan
inimah;ini
benr;benar
fuck;persetan
luama;lama
tegor;tegur
ditegor;tegur
anjeng;anjing
quota;kuota
dsj;dsb
unfair;tidak adil
btul;betul
ofc;tentu
kerumahz;rumah
rumahz;rumah
enek;eneg
encourage;semangat
hadeh;aduh
automatically;auto
done;sudah
thanks;terimakasih
wish;harap
luck;beruntung
mantau;pantau
donlod;unduh
download;unduh
least;setidaknya
bye;selamat tinggal
byebye;selamat tinggal
mamah;ibu
enau;enak
god;tuhan
nimb;nimbun
mlah;malah
smst;semester
set;setengah
weekdays;pekan
uninstal;uninstall
gausah;tidak
cman;cuma
aing;aku
manteman;teman
gapake;tidak pakai
hijab;kerudung
anjae;anjing
anjayani;anjing
proper;layak
dec;desember
brng;bareng
gaspol;gas
rapot;raport
rampyungg;sudah
maning;lagi
ngesuk;besok
esih;masih
pressure;tekanan
maloe;malu
astagaaa;astaga
lalen;lupa
hustle;ramai
kebablasan;kelewat
bablasa;kelewat
lebi;lebih
abiji;nilai
event;acara
setidakmungkin;tidak mungkin
berak;beol
thought;pikir
cuddling;peluk
deadass;mati
refers;tuju
satuu;satu
sakitt;sakit
semogaaa;semoga
teruss;terus
everyday;setiap hari
gils;gila
uga;juga
dengaaaan;dengan
maraton;marathon
dinner;makan malam
client;klien
useless;tidak berguna
caper;cari perhatian
caperr;cari perhatian
caperrr;cari perhatian
item;hitam
belajarpun;belajar
elahhh;allah
mapelah;mapel
only;hanya
our;kami
one;satu
angell;susah
pleciden;presiden
through;lewat
dag;deg
dig;deg
dug;deg
sagne;mesum
ngekick;usir
hbis;habis
maniiis;manis
details;detil
wasap;whatsapp
standby;tinggal
love;suka
texting;obrol
text;obrol
outfit;pakaian
kantung;kantong
mrasa;merasa
thdp;hadap
malaya;malaysia
indo;indonesia
play;main
sleep;tidur
skrang;sekarang
jirr;anjing
flop;gagal
survive;bertahan
best;terbaik
feeling;perasaan
poadcast;podcast
sometimes;kadang
test;ujian
quiz;kuis
final;akhir
dewee;sendiri
crash;tabrak
yaudahlaa;sudah
months;bulan
dahhh;sudah
jwabin;jawab
mislkn;misal
jwbn;jawab
tkut;takut
mirit;siswa
hqq;hakiki
aminn;amin
poop;beol
sndri;sendiri
camping;kemah
doh;aduh
apps;aplikasi
app;aplikasi
sya;aku
bkan;bukan
spupu;sepupu
laqnat;laknat
eskul;ekstrakulikuler
ngilang;hilang
sist;kakak
luv;sayang
sabi;bisa
interact;interaksi
muridnya;siswa
apakbar;apa kabar
opsi;pilihan
recorder;rekam
nongkrong;kumpul
nongki;kumpul
wonge;orang
ancen;memang
iki;ini
lag;lambat
asu;anjing
udahan;sudah
aq;aku
ibun;ibu
ayah;bapak
gasanggup;tidak sanggup
manut;nurut
rank;peringkat
rangking;peringkat
skarang;sekarang
mindset;pikir
jugaaaaa;juga
asuuuuuu;anjing
bokep;porno
ngebokep;porno
taiiii;tahi
point;titik
pasrahh;pasrah
yaudahla;sudah
kagettt;kaget
tricky;rumit
edgy;gelisah
buosen;bosan
expectation;harap
reality;realitas
attack;serang
dahal;padahal
ttep;tetap
msk;masuk
silent;diam
kulaih;kuliah
ijin;izin
emng;memang
smph;sumpah
excited;semangat
makasih;terimakasih
mngkin;mungkin
apala;apa
decided;memutuskan
